baffled	сбитый с толку
buckle down	стать серьёзным; приложить усилия; сосредоточиться
buddy	приятель
buildup	наращивание
bulletproof	пуленепробиваемый
bum	бездельник
bunch	связка
burden	бремя
bureau	бюро
buried	похоронен
burst out	воскликнуть, разразиться (смехом и т.п.), вырваться
buster	придурок
busy	деятельный; занятой
butter	сливочное масло
by and by	Вскоре, в конце концов
byte	байт
caged	запертый
calf	икра (ноги)
camera	фотоаппарат
camera body	корпус
candle	свеча
canine	клык
capable	способный
capper	кульминация или высшая точка чего-либо
carefree	беззаботный
caress	нежность
carry on	продолжать заниматься чем-либо
carry out	выполнять, осуществлять (приказ, обещание и т.п.)
cast	бросать
cause	причина
cautious	осторожный
cavity	полость
central	главный, руководящий, центральный, важный
cerebrum	головной мозг
certain	точный, определённый
chandelier	люстра
characteristic curve	характеристическая кривая
charcoal	древесный уголь
charming personality	харизматическая, притягательная личность
cheerfully	весело
cherish	ухаживать
chill	холод
chin	подбородок
choke	задыхаться
chuck pulled himself up to lean on an elbow, looking at thomas.	Чак подтянулся, чтобы опереться на локоть, глядя на Томаса.
churning	взбалтывать
cigarette butt	окурок
circumstances	обстоятельства
claim	требовать
clamp	зажимать
clashes	конфликт
class	класс
clavicle	ключица
clear	светлый, ясный, прозрачный, чёткий
clench	сжимать
clever	умный
cloak	плащ
close your mouth	закрой свой рот
clue	улика
clumsy	неуклюжий
clunky	неуклюжий
cluster	кластер
coal	уголь
cobwebs	хитросплетения
code	код
cold	холодный
collusion	тайное соглашение
come by	заходить, приходить
common	общий, всеобщий, публичный, распространённый
commonly	обычно
complacent	самодовольный
complain	жаловаться
complains	жаловаться
complete	полный, целый, законченный, завершённый
compulsion	принуждение
computer	компьютер
computing	вычисление
conceal	скрывать
conceivable	мыслимый
concerned	озабоченный, встревоженный
concession	уступка
concise	краткий
concrete	бетон
condemned	осуждённый
condition	состояние
confession	признание
confide	доверять
confidence	уверенность
configuration	конфигурация
confine	ограничивать
confusion	замешательство
conjurer	фокусник
conscience	совесть
consciously	сознательно
consciousness	сознание
consequences	последствия
considerable	значительный
considering	принимая во внимание
consolation	утешение
constellation	астр. созвездие, астр. созвездие
constructor	конструктор
consumes	потребляет
consumption	потребление
contact method (of printing negative)	контактный способ
contagious	заразный
contingency	непредвиденное обстоятельство
contrast	контраст
convenient	удобный
conviction	уверенность
convince	убеждать
cool off	остыть, взять себя в руки, успокоиться, охладиться
cope	справиться
copy equipment(positive print from negative)	копировальный прибор
corona	ореол
correct	правильный, соответствующий, надлежащий
cosy	уютный
counseling	консультирование
countless	бесчисленный
coursing	течёт
court order	распоряжение суда
crackdown	карательные меры
crap	дерьмо
craving	страстное желание
creepy	жуткий
cringe	съёживаться
crocheted	вязаный
crowds	толпа
cruel	жестокий
crummy	отвратительный
crunch	хруст
crypt	склеп
cuddle up	прижиматься к кому-либо
culling	отбор
culprits	виновники
curious	любопытный
cushion	диванная подушка
customization	настройка
daintily	изящно
daisy	маргаритка
damn	черт побери
damnation	проклятие
dangle	свисать
dare	отважиться
dark	тёмный
darling	дорогой-ая
data panel	контрольный экран
database	база данных
dawn	рассвет
dazzled	изумлять
debug	отлаживать (программу)
debugger	отладчик (программа для отладки кода)
decadence	упадок
decapitate	обезглавливать
decay	разложение
deceiver	обманщик
decision	решение
decisions	решение
dedicate	посвящать, предназначать
deem	полагать
deep	глубокий
defy	бросать вызов
delicious	приятный
delightful	восхитительный, очаровательный
delusion	заблуждение
demeans	унижать
densitometer	денситометр
deny	отрицать
departure	отправление
depth of field	глубина резкости
deputy	заместитель
deserve	заслуживать
desire	желание
despair	отчаяние
desperate	отчаянный
destructor	деструктор
deuce	двойка
develop	разрабатывать, проявлять/проявить
developer	разработчик, проявитель
developing	разработка
developing equipment	проявочная аппаратура
devoted	преданный
devotion	преданность
devour	пожирать
diamond	алмаз
diamond ore	алмазная руда
different	непохожий, другой, отличный
diffused light	рассеянный свет
digestion	пищеварение
digital zoom	цифровой зум
dignity	достоинство, гордость
diligence	усердие
diluted	разбавленный
dimensioning	масштаб
dimple	ямка(на щеке)
din	шум
direct	прямой, непосредственный; непрерывный, откровенный
directly	прямо
dirty (used) developer	проявитель, загрязнённый
disappointment	разочарование
disaster	катастрофа
disbelief	неверие
disease	болезнь
disguise	маска
disgust	отвращение
disgustedly	с отвращением
diskette	дискета
disperses	рассеивается
disport	развлекаться
disquieting	тревожный
dissatisfaction	недовольство
distinctive	отличительный
distinguish	различать
distributed system	распределенная система
diversity	разнообразие
divine	божественный
divorced	разведённая
dizziness	головокружение
dizzy	испытывающий / чувствующий головокружение
do you think you're doing?	вы думаете, что вы делаете?
dog	собака
don't be stupid	не валяй дурака
doubt	сомнение
doubtful	сомневающийся
dove	голубь
dozens	множество
drab	однообразие
drawer	выдвижной ящик (стола
drawing-room	гостиная
draws	подходить
dripping	промокший
drive mode	режим съемки
dross	мусор
dry	сухой, обезвоженный, скучный, непредвзятый, беспристрастный
drying room	сушильное помещение
dubs	ссылаться (на что-л.)
dull	скучный
dummy	ламер
during	во время
eager	интенсивный, напряжённый, азартный
early	ранний, начальный
earrings	сережки
easy	лёгкий, нетрудный, естественный, спокойный, уравновешенный, спокойно, легче
effort	усилие
either	каждый
elated by success	окрылённый успехом
elbow	локоть
elk	лось
eloquent	красноречивый
embarrass	смущать
embarrassed	смущённый; сконфуженный
embodiment	олицетворение
embrace	объятие
embraced	использовать
emerge	появляться
emphasize	подчёркивать
empty	пустой
enamel	зубная эмаль
encasing	покрытие
encourages	поощрять
endeavours	старания
endless paradise	бесконечные рай
endorse	подтверждать, одобрять
enduring	выносливый
engaged	поглощенный
enigmatic	загадочный
enlarger	фотоувеличитель
enormous	огромный
enthusiastic	восторженный; полный энтузиазма
enticed	заманил
enticing	соблазнительный
entire	полный, целый, весь
envision	воображать
epiphany	прозрение
equal	равный, одинаковый; идентичный, равносильный
eradicate	уничтожать
erupt	извергаться
escalate	обострять
essentially	по существу
establish	устанавливать
etched	запечатленный
eternity	вечность
evade	избегать
event	событие (программное)
evidence	доказательство
evident	ясный
exacerbate	обострять
exactly	точно
example	пример
excited	взволнованный
excitedly	взволнованно
excuse	предлог
exhausted	опустошенный
exhaustive	исчерпывающий
expect	ждать
expectations	ожидание
expensive	дорогой
explains	объясняет
explanations	разъяснение
expose	экспонировать
expresses	выражает
expunge	вычёркивать
exquisite	изысканный
extinct	вымерший
extort	вымогать
eyelash	ресничка
eyelid	веко
fabulous	изумительный
faith	вера
familiar	хорошо знакомый
famished	голодный
far	далёкий, дальний, отдалённый
fascinate	очаровывать
fast	быстрый, скорый; неточный, спешащий
fault-tolerant	отказоустойчивость
feast	празднование
fecundity	плодородие
felicity	блаженство
fetters	оковы
fictitious	воображаемый
fiend	злодей
fight back	сдерживать(слезы, смех); сопротивляться, давать отпор;
figure out	сообразить, выяснить, понять, разобраться
figured out	выяснил, понял
film	фотоплёнка
filming and photography	кинофотосъёмка
filthy	грязный
final	завершающий, заключительный, конечный
fine	тонкий, утончённый; прекрасный, превосходный, совершенный
finiteness	конечность
flare	вспышка или язык пламени
flash	вспышка
flavor	вкус
flawless	безупречный
flesh	плоть
flicker out	исчезать
flourish	процветать
flu	разг. грипп
fluently	бегло
fluttering	развевающийся
folder	папка (на компьютере)
forearm	предплечье
forefinger	указательный палец
forehead	лоб
foreshadows	предвещает
forgiven	прощенный
forsaken	брошенный
fractures	перелом
framing	кадрирование
freckle	веснушка
free	свободный, вольный, независимый
frightened	испуганный
fringe	чёлка
front	передний
frown	хмуриться
frustration	расстройство
full	полный
fumigate	дезинфицировать
fun	веселье
function	функция
furniture	мебель
further	дальше
fusion	слияние
futile	бесполезный
gamble	играть в азартные игры
gamma	гамма
gasp	задыхаться
gathering	собрание
gazed	вглядывался
generous	великодушный, благородный, добрый
gentleness	доброта
genuinely	искренне
get along	уживаться, ладить, справляться с делами
get over	справиться, понять, добраться до, перейти, перелезть
give up	сдаться, отказаться, оставить, бросить
glances	взгляды
gland	железа
glass	стеклянный
glimmer	мерцание
glimpse	увидеть мельком
glossy	глянцевый, блестящий
glove	перчатка
glow	отблеск
go by	проходить, проезжать мимо; проходить (о времени)
gold	золото
good	хороший
gossip	сплетня
got off	сошел, покинул
graininess	зернистость
grainy	зернистый
grasp	охватить
great	большой, огромный, крупный
green	зелёный
grievance	жалоба
grind	перемалывать
grip	хватка
groin	пах
groove	ритм
gross	отвратительный
grow	расти
grow up	вырастать, становиться взрослым
grueling	изнурительный
grunting	хрюкать
guilt	вина
hacker	хакер
ham	ветчина
hang out	тусоваться, ошиваться; вывешивать
happy	счастливый
hard	жёсткий, твёрдый; тугой, негибкий, негнущийся
hard disk	жесткий диск
hard-fought	упорный
harmless	безобидный
harnessing	освоение
harsh	строгий
hate	ненависть
hatred	ненависть
haunt	преследовать
hazard	опасность
haze	вуаль
healthy	здоровый
heavy	тяжелый
heel	пятка
helpful	полезный
helpless	беспомощный
hen	курица
hesitation	сомнение
high	высокий; большой, сильный, интенсивный
high availability	высока доступность
high performance	высокая производительность
hilarious	весёлый
hinder	препятствовать
hips	бедра
histogram	гистограмма
honestly	честно
honor	честь
hope	надежда
hopped on	прыгнуть на; вскочить на
horny	возбужденный (сленг)
hospital ward	больничная палата
hot	горячий
huge	гигантский
human	людской, человеческий; социальный, общественный
hunger strike	голодовка
hurl	бросать
husband	муж
huskiest	самый крепкий; самый здоровый
hydrometer	гидрометр
illumination	освещённость
immediately	немедленно
immersed	погруженный
immersion heater	кипятильник
impatient	нетерпеливый
impediment	помеха
imperfections	несовершенство
implementation	реализация
import	импорт
important	важный, значительный, существенный
improbable	неправдоподобный
in advance	заранее
in spite of	несмотря на, вопреки чему-либо
in turn	в свою очередь
inappropriate	неуместный
inchoate	зачаточный
include	включение
inconceivably	непостижимо
indeed	действительно
indelibly	неизгладимо
indignity	оскорбление
indulgence	снисхождение
inescapable	неотвратимый
inextricably	неразрывно
infantry	пехота
inference	вывод
infested	зараженный
infinitesimal	бесконечно малая величина
infra-red photography	инфракрасная фотография
infuriating	приводящий в ярость
inherently	по сути
injure	ранить
innate	врождённый
innocense	невинность
insane	безумный
insecure	ненадежный
inspiration	вдохновение
instigate	подстрекать
intention	намерение
interest	интерес
intervene	вмешиваться
intimate	интимный
intimating	намекающий
intimidating	пугающий
intolerable	невыносимый
introspective	самосозерцательный
invention	изобретение
involuntary	непроизвольный
involvement	вовлечение
irreparable	непоправимый
irritation	раздражение
jaw	челюсть
jealous	ревнивый
jealousy	ревность
joy	радость, счастье; восторг
jubilation	ликование
juncture	соединение
keen	заядлый
keen sense	обостренное чувсво
keeps me up	не дает мне уснуть
kerchief	платок
keyboard	клавиатура
kidney	почка
kind	добрый, любезный, сердечный
kindhearted	добрый, мягкосердечный
knock down	сбить с ног, сносить, разрушать, понижать
knock it off	брось, оставь, отцепись
known	известный
lack	недостаток
lacked	не хватало
lag	медленно тащиться
lamer	ламер
language	язык
lapse	деградировать
large	большой
larynx	гортань
lashed out	обрушился с критикой
last	последний
late	поздний
lay	класть
lazy	ленивый
leaf node	вершина дерева, не имеющая дочерних вершин
leash	поводок
led	приводить
ledger	программа финансового учёта
leech	пиявка
left behind	оставить позади
legal notes	юридическое заявление
legislation	законодательство
lens	объектив
lens angle	угол изображения объектива
let in	впускать
let me down	подводить, разочаровывать
level	уровень
library	библиотека (функций)
license plate	номерной знак
life-cycle	жизненный цикл
light	лёгкий
lighter	зажигалка
lightness	лёгкость
lightweight	простая и компактная (программа)
limber	гибкий
limping	хромающий
line disciplines	протокол линии
line switching	коммутация каналов (линий связи)
line terminator	завершитель строки
lingers	задерживаться
links bar	панель ссылок
list headed by size	список с указанием размера
listen out	прислушиваться
lit	зажечь
literal	литерал
literally	буквально
literate programming	стиль разработки программы, при котором сначала пишется описание будущей программы на естественном языке, которое в процессе разработке разбавляется кодом программы
little	маленький, небольшой; короткий, близкий (о времени, расстоянии)
live cd	загрузочный компакт-диск
liver	печень
load	загружать
load balancing	балансировка нагрузки
loathe	ненавидеть
localhost	локальное имя домена
locket	медальон
log file	журнал сообщений
long	длинный
long gone	след простыл
longing	тоска
look and feel	внешний вид, стиль
loop	цикл
loop body	тело цикла
loopback interface	сетевая заглушка
loosely	свободно
lore	знания
loud	громкий
love	любовь
low	низкий, невысокий; открытый; низкий (об одежде, обуви)
low-level	низкоуровневый
low-level language	язык низкого уровня
lung	легкое
lust	похоть
luxury	роскошный
maid	горничная
maiden	девица
mail	почта
main	главный; важнейший, основной; абсолютный
maintain	поддерживать
maintenance	поддержка
make yourself at home	Чувствуйте себя как дома
malnourished	истощенный
mandatory	обязательный
mankind	человечество
marshall	группировать, упорядочивать
marvelous	удивительный
match	спичка
matrix	матрица
meadow	луг
meals	еда
meaning	значение
measurable	значительный
megapixel	мегапиксель
melancholy	меланхолия
melt	таять
member	член класса (член-переменная класса)
mend	чинить
mention	упоминать
meth	травка
method	метод
milk	молоко
miserable	несчастный
misery	страдание
mist	(лёгкий) туман
mittens	варежки
moderately	умеренно
mohawks	ирокез (стрижка)
molar	коренной зуб
mole	родинка
monotony	однообразие
mood	настроение
most	самый большой, наибольший
mother-in-law	тёща
mouse	мышь
moustache	усы
mug	кружка
murmur	ворчание
mutual	взаимный
nail	ноготь
nape	затылок
napkin	салфетка
narrow	узкий
nasty	неприятный
national	народный, национальный, государственный
navel	пупок
near	близкий
neck	шея
needles	иглы
network	сеть
new	новый
next	следующий; будущий; ближайший, соседний
no swearing!	не ругаться!
notebook	ноутбук
noticed	заметил
notion	понятие
notorious	печально известный
nourished	сытый
nourishment	питание
nun	монахиня
nuptials	бракосочетание
nurturing	воспитание
obituaries	некрологи
object	объект
oblique photography	перспективная фотосъёмка
obliterate	вычёркивать
obscure	неясный
obscurity	неизвестность
obsession	одержимость
obsidian	обсидиан
obvious	очевидный
occurred to me	пришло мне в голову
offer	предлагать
old	старый
only	единственный
open sore	открытая рана
opinions	мнение
opposite	напротив
out of reach	вне досягаемости
outfit	экипировка
outlet	отдушина
outskirts	окраина
overdevelopment	перепроявление
overexposure	передержка
overreach	перехитрить
ovule	яйцеклетка
package	пакет (библиотека)
pain	боль
pale	бледный
palm	ладонь
pang	внезапная острая боль
pants	штаны
parallax	параллакс
parrot	попугай
particular	конкретный
passage	проход
passing through	проезжая, проходя через
passion	страсть
pathetic	жалкий
patience	терпение
patient	терпеливый
peas	горох
pelvis	таз
pending nuptials	надвигающаяся свадьба
perceive	воспринимать
perception	восприятие
perfection	совершенство
perky	бойкий
permanent	постоянный
perspective	перспектива
persuasive	убедительный
pesky	амер. разг. надоедливый
pestilence	эпидемия
photometric measurement	фотометрирование
pierce	пронзать
pig	свинья
pillar	колонна
piston	поршень
pitiful	ничтожный
pity	жалость
plague	чума
platform	платформа
plead	умолять
pleasant	приятный
plenitude	изобилие
plenty	множество
plethora	изобилие
poached	в смятку
poor	бедный
pork	свинина
possible	вероятный, возможный
poultry	домашняя птица
pounding	стук
poverty	бедность
precisely	точно
pretentious	притязательный
pretext	предлог
prey	добыча
prick	прокалывать
primal	первобытный
print	отпечаток
private	частный, личный, персональный, приватный
process	процесс
processing	обработка
profitable	прибыльный
profound	глубокий
programmer	программист
programming	программирование
programming language	язык программирования
promise	обещание
promises	обещания
prone	склонный
prosody	интонация
prosperity	процветание
protrude	торчать
pull me under	затяни меня на дно
pupil	зрачок
pure	чистый
purposes	цель
purse	кошелёк
pursue	преследовать
put you down	унижать
quash	отменять
quell	подавлять (эмоции)
query language	язык запросов
quick	быстрый
quiet	спокойный
quietly	спокойно
quirks	особенности
quirky	причудливый
quite	вполне
quivering	дрожание
quivering voice	дрожащий голос
quorum	кворум
ragged	рваный
rails	рельсы
random	случайный
random number	случайное число
range of exposure	диапазон экспонирования
rare	редкий
ready	готовый, подготовленный, приготовленный
real	реальный, действительный, подлинный, истинный
reassuring	обнадеживающее
rebel	бунтарь
recent	недавний, последний; новейший, свежий, современный
reclaim	восстановление
red	красный
reeking	зловонный
reflection	рефлекс (отсвет)
reflex	блик
refuse	отказывать
regarding	в отношении
rehearsal	репетиция
relentless	непреклонный
relevant	относящийся к делу
reliance	уверенность
remain	оставаться
remorse	раскаяние
replenish	подкреплять/подкрепить
replica	точная копия
reproach	упрекать
reproduce	воспроизводить/воспроизвести
reset	сброс
responsible	ответственный
retina	сетчатка
reveal	обнаруживать
revulsion	отвращение
rib	ребро
rice	рис
rich	богатый
ridiculous	нелепый
rifle	винтовка
rift	трещина
rifts	разногласия
right	правильный
right-wing	правых взглядов (полит.)
riot	бунт
rival	соперник
riveted	приковывать
roam	бродить
robust	крепкий
rod	прут
rotten	гнилой
rotting	гниль
round	круглый
rub	натирать
rug	коврик
ruse	уловка
rusty	ржавый
sadness	печаль
safe	безопасный
sail away	отплывать, уплывать
sake	польза
saltine	печенье с солью
same	одинаковый
sand	песок
satisfy	удовлетворять
savage	свирепый
scapula	лопатка
scars	шрамы
schedule	расписание
scowl	хмуриться
scrape up	отчищать, наскребать (деньги, очки)
screw up	испортить, напортачить, провалить
screwdriver	отвёртка
scuffle	драка
seal	запечатывать
seamless	плавный
seducing	соблазнять
seems	оказывается
seized	захваченный
self discovery	самопознание
self-appointed	самопровозглашенный
selfish	эгоистичный
sempiternal	вечный
senselessly	бессмысленно
senses	чувства
sensitivity	чувствительность
sensitizing	сенсибилизация (фото)
serious	серьёзный
settle	успокаиваться
severe	суровый
sewage	сточные воды
shades	тени
shading	светотень
shaft	ствол
shapeless	бесформенный
shattered	раздробить
she is an idiot	она идиотка
sheer	абсолютный
shelf	полка
shepard	пастух
shin	голень
shivering	дрожащий
shoe	башмак
shore	берег
short	короткий
shrimp	креветка
shut up	заткнись, замолчи
shutter	затвор
shy	застенчивый
sidewalk	тротуар
sigh	вздох
sight	взгляд
sign in	войти, зарегистрироваться
signature	подпись
silent treatment	молчанка, бойкот
silly	глупый
simple	несложный, простой, лёгкий
simply put	проще говоря
since	с тех пор
sincerely	искренне
sincerity	искренность
single	один; единственный; отдельный; единичный
sink or swim	была не была, пан или пропал
slab	плита
slave	раб
sleek	гладкий
sleeve	рукав
slightly	слегка
slipcover	чехол для мебели
slipping	скольжение
sloppy	небрежный
slosh around	плескаться
slow	медленный, тихий; медлительный, неторопливый, постепенный
small	маленький, мелкий; небольшой
smirk	ухмылка
sneak up	незаметно подкрастся
sneakers	кроссовки
soaked	пропитанный
sober	трезвый
social	общественный; социальный, коммуникабельный, общительный
software	программное обеспечение
solely	исключительно
soliciting	настойчиво просить
son of a gun	негодник; паршивец
soothes	успокаивать
sophisticated	изощренный
sore	больной
spare me	пощадите меня
sparkle	блеск
spearhead	возглавлять
special	особый, особенный, специальный
specific gravity	удельный вес
speech	речь
spill	проливать
spills out	выплескивается
splendid	великолепный
splinter	заноза
spoons	ложки
spot	какое-то определенное место
spotless	безупречный
spread out	растягивать, развертывать, расширять
spur	побуждать
squat	приземистый
squeal	визжать
squids	кальмары
squinted	прищурился
stab me	ударь меня
staff	штат
staring	пялящийся
state-of-the-art	передовой
statement	оператор
static variable	статическая переменная
steal	воровать
stereo photography	стереосъёмка
sticky piston	липкий поршень
stiffened	окоченевший
stifle	подавлять
still at large	всё ещё на свободе
stirring	помешивание
stocking	чулок
stone	камень
stop it	прекрати
stove	печь
straightway	сразу
strand	нить
strapped down	стянуть
stride	большой шаг
strive	стараться
stroke of luck	улыбка фортуны, удача
stroll	прогулка
strong	сильный, решительный, непоколебимый, стойкий, храбрый
struggle	борьба
stubble	щетина
stuck	застрять
stumble	спотыкаться
stutter	заикание
sublime	величественный
subsequently	впоследствии
sudden	внезапный
suddenly	внезапно
suffering	страдание
suing	преследовать в судебном порядке; подавать в суд, возбуждать иск, предъявлять иск
suitable	подходящий
summon	призывать
sunbeams	солнечные лучи
supporter	сторонник
supposedly	предположительно
suppress	подавлять
sure	уверенный; верный, безошибочный; надёжный
surely	непременно
surge of confidence	прилив уверенности
surgical	хирургический
surpassed	превосходить
suspect	подозревать
suspicious	подозрительный
sustained	непрерывный
sweat	пот
sweet	сладкий
syllable	слог
sympathy	сочувствие
synchronization	синхронизация
table	таблица
taint	пятно
take your time	Не торопитесь
tamper	портить
tangible	осязаемое
tarmac	взлетная полоса
tasty	вкусный
tedious	утомительный
temple	висок
tender	нежный
tending	ухаживающий
tense	напряженный
terrible	ужасный
tether	привязать
thankful	благодарный
therefore	поэтому
thick	толстый
thigh	бедро
thirsty	испытывающий жажду
thorax	грудная клетка
thorn	шип
thoughtless	безрассудный
threat	угроза
thrill	трепет
thugs	бандиты
tie	галстук
tied	связанный
till	до
tinkerer	ремонтник
to load a magazine	заряжать/зарядить кассету
to top it all off	в довершение ко всему
toe	палец (на ноге)
together	вместе
tonsils	гланды
took off	снял
torn	разорванный
tossing	встряхивать
tough	трудный
towards	к, по направлению к; по отношению к; для, с тем, чтобы; около (часа)
towel	полотенце
traitor	предатель
tramp	бродяга
treat	обращаться
tree	дерево
tremble	дрожать
trembling	дрожь
trepidation	дрожь
tribute	дань
trifle	пустяк
trolley	вагонетка
troubled	беспокойный
trousers	брюки
trump	превзойти
trunk	торс
trust	доверие
tug	рывок
turned out	оказалось
twisted	запутанный
ubiquity	вездесущность
ultra-close-up photography	макросъёмка
ultrahigh-speed photography	сверхскоростная фотография
unbearable	невыносимый
unchain	освобождать
underneath	внизу
undertow	ловушка, ловушка
uneasy	тревожный
uninhabited	необитаемый
unpredictable	непредсказуемый
unravel	разгадывать
unsettling	тревожащий
up-and-up	без обмана
upset	расстройство
urge	побуждение
urgency	срочно
urgent	настойчивый
urp	рыгать
usual	обыкновенный, обычный
uterus	матка
vague	смутный
valor	доблесть
vanish	исчезать
vanquish	подавлять
vaporize	испарять
variable	переменная
various	различный, разный, разнообразный
vast	громадный
vengeance	месть
ventured	решиться
vertebra	позвонок
viral	вирусный
virtual synchrony	виртуальная синхронность
virtue	достоинство
visceral	интуитивный
vulnerable	уязвимый
waist	талия
waitress	официантка
wanderer	странник
wandering	блуждающий
ward	опека
warm	теплый
wart	бородавка
waste	растрата
water	вода
watermelon	арбуз, арбуз
weak	слабый
wealthy	богатый
weary	утомлённый
web-master	веб-мастер
web-page	веб-страница
web-site	веб-сайт
weddings	свадьба
weeping	рыдание
weird	странный
what's it to you?	Какая тебе разница? Тебе то какое дело?
whatever	любой
wheat	пшеница
whence	откуда
whine	плакаться
whisked	быстро двинулся
whiskers	бакенбарды
whispers	шептать
white	белый
wide	широкий
widespread	широко распространённый
will	желание
winding	извилистый
wisdom	мудрость
wise	мудрый
within	в пределах
witnesses	свидетели
witty remark	остроумное замечание
woke me up	разбудил меня
wolf	волк
wooden	деревянный
wool	шерстяной
worn	изношенный
worried	озабоченный
worship	поклоняться
worst	наихудшее
worth	стоимость
worthy	достойный
wounds	рана
wrath	гнев
wrist	запястье
wrists	запястья
yells	вопить
young	молодой, юный; недавний, новый
zombie	зомби
